"year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
2010,"m",0,0.00185,0.009166,0.05,1e+05,917,495463,7214705,72.15
2010,"m",5,0.000293,0.001463,1.65,99083,145,494931,6719243,67.81
2010,"m",10,0.000409,0.002042,2.5,98938,202,494187,6224312,62.91
2010,"m",15,0.002069,0.010289,2.5,98736,1016,491142,5730125,58.03
2010,"m",20,0.003922,0.019417,2.5,97720,1897,483859,5238983,53.61
2010,"m",25,0.00478,0.02362,2.5,95823,2263,473457,4755124,49.62
2010,"m",30,0.005073,0.025046,2.5,93560,2343,461940,4281667,45.76
2010,"m",35,0.005054,0.024953,2.5,91216,2276,450391,3819727,41.88
2010,"m",40,0.004856,0.023987,2.5,88940,2133,439368,3369336,37.88
2010,"m",45,0.005588,0.027553,2.5,86807,2392,428055,2929968,33.75
2010,"m",50,0.007041,0.034597,2.5,84415,2921,414774,2501914,29.64
2010,"m",55,0.009577,0.046767,2.5,81495,3811,397944,2087140,25.61
2010,"m",60,0.014204,0.068585,2.5,77683,5328,375096,1689195,21.74
2010,"m",65,0.021804,0.103384,2.5,72355,7480,343076,1314099,18.16
2010,"m",70,0.032889,0.151951,2.5,64875,9858,299730,971024,14.97
2010,"m",75,0.055998,0.245607,2.5,55017,13513,241304,671294,12.2
2010,"m",80,0.088999,0.364006,2.5,41504,15108,169753,429990,10.36
2010,"m",85,0.101433,1,NA,26397,26397,260237,260237,9.86
2019,"m",0,0.002278,0.011261,0.05,1e+05,1126,494427,10021555,100.22
2019,"m",5,0.000214,0.001068,1.64,98874,106,494015,9527128,96.36
2019,"m",10,0.000275,0.001375,2.5,98768,136,493502,9033113,91.46
2019,"m",15,0.001192,0.005944,2.5,98633,586,491697,8539610,86.58
2019,"m",20,0.00257,0.012767,2.5,98046,1252,487102,8047913,82.08
2019,"m",25,0.002988,0.014828,2.5,96795,1435,480384,7560811,78.11
2019,"m",30,0.003363,0.016674,2.5,95359,1590,472821,7080427,74.25
2019,"m",35,0.003467,0.017185,2.5,93769,1611,464818,6607606,70.47
2019,"m",40,0.004155,0.020561,2.5,92158,1895,456052,6142788,66.66
2019,"m",45,0.004803,0.023732,2.5,90263,2142,445959,5686736,63
2019,"m",50,0.006034,0.029724,2.5,88121,2619,434056,5240777,59.47
2019,"m",55,0.008896,0.04351,2.5,85501,3720,418207,4806721,56.22
2019,"m",60,0.013092,0.063385,2.5,81781,5184,395947,4388515,53.66
2019,"m",65,0.019595,0.093399,2.5,76598,7154,365102,3992568,52.12
2019,"m",70,0.028032,0.130982,2.5,69443,9096,324477,3627465,52.24
2019,"m",75,0.044869,0.201718,2.5,60348,12173,271305,3302988,54.73
2019,"m",80,0.072483,0.306816,2.5,48174,14781,203920,3031683,62.93
2019,"m",85,0.011809,1,NA,33394,33394,2827763,2827763,84.68
2021,"m",0,0.001903,0.009426,0.05,1e+05,943,495334,11833173,118.33
2021,"m",5,0.000178,0.000887,1.65,99057,88,494992,11337838,114.46
2021,"m",10,0.000342,0.001707,2.5,98970,169,494425,10842846,109.56
2021,"m",15,0.001283,0.006395,2.5,98801,632,492423,10348420,104.74
2021,"m",20,0.002575,0.012794,2.5,98169,1256,487704,9855997,100.4
2021,"m",25,0.00315,0.015628,2.5,96913,1515,480777,9368293,96.67
2021,"m",30,0.004037,0.019985,2.5,95398,1907,472225,8887516,93.16
2021,"m",35,0.004938,0.024391,2.5,93492,2280,461757,8415291,90.01
2021,"m",40,0.005747,0.028329,2.5,91211,2584,449597,7953534,87.2
2021,"m",45,0.00819,0.040127,2.5,88627,3556,434246,7503938,84.67
2021,"m",50,0.00967,0.047211,2.5,85071,4016,415314,7069692,83.1
2021,"m",55,0.01414,0.068287,2.5,81055,5535,391436,6654377,82.1
2021,"m",60,0.000894,0.004461,2.5,75520,337,376757,6262941,82.93
2021,"m",65,0.001385,0.006901,2.5,75183,519,374617,5886184,78.29
2021,"m",70,0.001991,0.009904,2.5,74664,739,371471,5511567,73.82
2021,"m",75,0.003436,0.017033,2.5,73925,1259,366475,5140096,69.53
2021,"m",80,0.007188,0.035305,2.5,72665,2565,356913,4773621,65.69
2021,"m",85,0.015872,1,NA,70100,70100,4416707,4416707,63.01
2010,"f",0,0.001558,0.007729,0.06,1e+05,773,496180,11334541,113.35
2010,"f",5,0.000185,0.000924,1.52,99227,92,495816,10838361,109.23
2010,"f",10,0.000186,0.000928,2.5,99135,92,495447,10342545,104.33
2010,"f",15,0.000477,0.002383,2.5,99043,236,494627,9847098,99.42
2010,"f",20,0.000558,0.002788,2.5,98807,275,493348,9352472,94.65
2010,"f",25,0.000729,0.003636,2.5,98532,358,491764,8859124,89.91
2010,"f",30,0.000864,0.004312,2.5,98174,423,489809,8367360,85.23
2010,"f",35,0.001003,0.005002,2.5,97750,489,487529,7877551,80.59
2010,"f",40,0.001379,0.006872,2.5,97261,668,484635,7390022,75.98
2010,"f",45,0.002314,0.011503,2.5,96593,1111,480187,6905387,71.49
2010,"f",50,0.00313,0.01553,2.5,95482,1483,473702,6425200,67.29
2010,"f",55,0.005343,0.026363,2.5,93999,2478,463799,5951499,63.31
2010,"f",60,0.009252,0.045214,2.5,91521,4138,447259,5487699,59.96
2010,"f",65,0.014371,0.069363,2.5,87383,6061,421761,5040440,57.68
2010,"f",70,0.021686,0.102853,2.5,81322,8364,385698,4618678,56.8
2010,"f",75,0.038478,0.175506,2.5,72958,12804,332776,4232980,58.02
2010,"f",80,0.066276,0.284277,2.5,60153,17100,258015,3900204,64.84
2010,"f",85,0.011821,1,NA,43053,43053,3642189,3642189,84.6
2019,"f",0,0.00165,0.008185,0.06,1e+05,818,495955,12873765,128.74
2019,"f",5,0.000146,0.000731,1.52,99182,72,495655,12377810,124.8
2019,"f",10,0.000148,0.000742,2.5,99109,74,495361,11882155,119.89
2019,"f",15,0.000324,0.001621,2.5,99036,161,494776,11386794,114.98
2019,"f",20,0.000464,0.002315,2.5,98875,229,493803,10892017,110.16
2019,"f",25,0.000556,0.002777,2.5,98646,274,492546,10398215,105.41
2019,"f",30,0.000638,0.003183,2.5,98372,313,491078,9905669,100.7
2019,"f",35,0.000993,0.004951,2.5,98059,486,489081,9414591,96.01
2019,"f",40,0.001367,0.006811,2.5,97574,665,486206,8925510,91.47
2019,"f",45,0.00199,0.009901,2.5,96909,959,482146,8439303,87.08
2019,"f",50,0.002876,0.014276,2.5,95949,1370,476323,7957157,82.93
2019,"f",55,0.004934,0.024371,2.5,94580,2305,467136,7480835,79.1
2019,"f",60,0.007701,0.037778,2.5,92275,3486,452658,7013699,76.01
2019,"f",65,0.011634,0.056526,2.5,88789,5019,431396,6561040,73.89
2019,"f",70,0.018636,0.08903,2.5,83770,7458,400204,6129644,73.17
2019,"f",75,0.031135,0.144434,2.5,76312,11022,354004,5729440,75.08
2019,"f",80,0.056084,0.245938,2.5,65290,16057,286306,5375435,82.33
2019,"f",85,0.009674,1,NA,49233,49233,5089129,5089129,103.37
2021,"f",0,0.00133,0.006605,0.06,1e+05,661,496735,13915260,139.15
2021,"f",5,0.000173,0.000863,1.52,99339,86,496399,13418526,135.08
2021,"f",10,0.000142,0.00071,2.5,99254,70,496093,12922126,130.19
2021,"f",15,0.000344,0.001718,2.5,99183,170,495491,12426034,125.28
2021,"f",20,0.00057,0.002844,2.5,99013,282,494360,11930543,120.49
2021,"f",25,0.001012,0.005047,2.5,98731,498,492411,11436183,115.83
2021,"f",30,0.001337,0.006661,2.5,98233,654,489529,10943772,111.41
2021,"f",35,0.002353,0.011696,2.5,97579,1141,485040,10454243,107.14
2021,"f",40,0.002559,0.012715,2.5,96437,1226,479121,9969203,103.37
2021,"f",45,0.004643,0.022951,2.5,95211,2185,470593,9490081,99.67
2021,"f",50,0.005378,0.026533,2.5,93026,2468,458959,9019488,96.96
2021,"f",55,0.008085,0.039624,2.5,90558,3588,443818,8560529,94.53
2021,"f",60,0.011386,0.055355,2.5,86969,4814,422812,8116711,93.33
2021,"f",65,0.017605,0.084312,2.5,82155,6927,393459,7693900,93.65
2021,"f",70,0.002456,0.012204,2.5,75229,918,373847,7300440,97.04
2021,"f",75,0.003304,0.016386,2.5,74310,1218,368508,6926593,93.21
2021,"f",80,0.005992,0.029516,2.5,73093,2157,360070,6558085,89.72
2021,"f",85,0.011445,1,NA,70935,70935,6198015,6198015,87.38
